,category,level,prog_metric,Genre Share,Affinity,client_metric,Client Genre Share,Overall Share,genre,ntwk
21,Asianet,Malayalam GEC,1535.872278,56.7661210642,100.0,92.420774,46.9545396833,0.828107917164,Malayalam GEC,Star Network
22,Asianet Movies,Malayalam Movies,246.6634695,55.8495945385,,0.7958415,3.02586184232,0.00713089296307,Malayalam Movies,Star Network
23,Asianet Plus,Malayalam GEC,135.071852,4.99228042125,100.0,32.6446945,16.5851954816,0.292502743689,Malayalam GEC,Star Network
34,Channel V,Hindi Youth,73.7159785,20.4206931052,46.9049479568,22.5817005,77.4540224688,0.202336381289,Hindi Youth,Star Network
83,FX,English GEC,0.271511,0.978270096529,37.5433147952,,,,English GEC,Star Network
85,Fox Life,English Lifestyle,25.412916,50.7817519159,69.9848387713,1.960767,40.4301278804,0.0175688495794,English Lifestyle,Star Network
108,Jalsha Movies,Bengali Movies,169.4881645,35.3965475257,7.01291113182,13.952063,16.4271539487,0.125013168912,Bengali Movies,Star Network
118,Life OK,Hindi GEC,2673.000697,11.0216272375,71.5592202422,650.722518,11.9941808869,5.83059896288,Hindi GEC,Star Network
119,Life Ok HD,Hindi GEC,4.0306025,0.0166194488266,57.0846955015,2.132809,0.0393121434031,0.0191103790009,Hindi GEC,Star Network
122,MAA,Telugu GEC,1559.6740945,25.6215924339,100.0,144.4009255,15.9866390616,1.29386007579,Telugu GEC,Star Network
128,Maa GOLD,Telugu GEC,104.497358,1.71663344704,,22.3728875,2.47690432724,0.200465376632,Telugu GEC,Star Network
129,Maa Movies,Telugu Movies,288.568544,32.2757748097,,74.0193,63.1666644393,0.663227169608,Telugu Movies,Star Network
130,Maa Music,Telugu Music,94.9805225,32.8973136128,,14.908272,32.4269353161,0.133580985531,Telugu Music,Star Network
137,Movies OK,Hindi Movies,946.2807585,9.23738483273,67.1334235132,71.5273855,9.60092830478,0.640899136233,Hindi Movies,Star Network
140,NAT GEO PEOPLE,English INFO,0.044424,0.00537678334255,,,,,English INFO,Star Network
147,Nat Geo Wild,English INFO,4.6016255,0.556949922048,81.2602311991,,,,English INFO,Star Network
148,National Geographic,English INFO,176.294001,21.3374448039,97.1198401301,1.196474,7.70730243642,0.0107206372464,English INFO,Star Network
181,Star Gold,Hindi Movies,1107.1115645,10.8073798206,70.8406299494,110.7888695,14.8708915558,0.992689586939,Hindi Movies,Star Network
182,Star Gold HD,Hindi Movies,4.3848045,0.0428034980305,47.8735707983,1.107709,0.148684795582,0.00992528576761,Hindi Movies,Star Network
183,Star Jalsha,Bengali GEC,1030.753877,48.8680060895,5.43441349453,156.3369265,48.9717635912,1.40080894129,Bengali GEC,Star Network
184,Star Movies,English Movies,81.7103825,25.8499873665,100.000944197,5.036965,27.1593827396,0.0451321755321,English Movies,Star Network
185,Star Movies Action,English Movies,1.970536,0.623400957709,51.0917170963,,,,English Movies,Star Network
186,Star Movies HD,English Movies,0.9835005,0.311141310591,41.4379836755,0.1191815,0.642628244186,0.00106788917099,English Movies,Star Network
187,Star Movies Select HD,English Movies,0.0375215,0.0118703434166,34.7672393025,,,,English Movies,Star Network
188,Star Plus,Hindi GEC,5690.8306865,23.4650947037,59.0405074897,1195.2554875,22.0310656641,10.7097191399,Hindi GEC,Star Network
189,Star Plus HD,Hindi GEC,22.752996,0.093817798375,58.6311342639,6.7783795,0.124939751729,0.0607355845072,Hindi GEC,Star Network
190,Star Pravah,Marathi GEC,190.7769555,10.4325194849,12.7596812388,83.5544375,18.4396343054,0.748663836206,Marathi GEC,Star Network
191,Star Sports 1,Sports,256.1726568,30.9134656088,100.0,0.217831,0.352974746525,0.00195180767155,Sports,Star Network
192,Star Sports 2,Sports,19.402735,2.34141218907,100.0,1.2425405,2.0134205785,0.0111334019497,Sports,Star Network
193,Star Sports 3,Sports,301.0698439,36.3314039113,100.0,0.359059,0.581821501589,0.00321723772438,Sports,Star Network
194,Star Sports 4,Sports,3.7297765,0.450088307634,100.0,,,,Sports,Star Network
195,Star Sports HD1,Sports,5.5888899,0.674435585254,100.0,0.004998,0.00809879118736,4.47830416351e-05,Sports,Star Network
196,Star Sports HD2,Sports,0.312509,0.0377118164936,100.0,0.008571,0.0138885032547,7.67978090945e-05,Sports,Star Network
197,Star Sports HD3,Sports,2.9411878,0.354925888813,100.0,0.0,0.0,0.0,Sports,Star Network
198,Star Sports HD4,Sports,0.4442195,0.0536058938043,100.0,,,,Sports,Star Network
199,Star Utsav,Hindi GEC,691.179936,2.84995346883,68.3490195928,336.437644,6.20125145155,3.01454602218,Hindi GEC,Star Network
200,Star Vijay India,Tamil GEC,828.1831765,11.7764242342,100.0,10.535966,1.2601102338,0.0944042825217,Tamil GEC,Star Network
201,Star World,English GEC,3.9855985,14.3603457293,61.1463909371,0.168749,9.32922863269,0.00151202350798,English GEC,Star Network
202,Star World HD,English GEC,0.023598,0.0850249814479,34.756097561,0.0,0.0,0.0,English GEC,Star Network
208,Suvarna,Kannada GEC,353.90975,17.2958601903,100.0,75.9067675,17.3312679074,0.680139241564,Kannada GEC,Star Network
209,Suvarna Plus,Kannada Movies,78.529201,12.9987569549,,,,,Kannada Movies,Star Network
